state,district,chamber,cycleYear,totalAgainst,rowCount
GA,3,HOUSE,2020,750.00,1
AZ,8,HOUSE,2020,750.00,1
LA,5,HOUSE,2020,750.00,1
LA,6,HOUSE,2020,750.00,1
WI,8,HOUSE,2020,750.00,1
TX,8,HOUSE,2020,750.00,1
SC,7,HOUSE,2020,750.00,1
TX,26,HOUSE,2020,750.00,1
SC,3,HOUSE,2020,750.00,1
OH,7,HOUSE,2020,750.00,1
ND,,HOUSE,2020,750.00,1
TN,7,HOUSE,2020,750.00,1
OH,16,HOUSE,2020,750.00,1
NH,,SENATE,2024,587.00,1
NC,6,HOUSE,2020,540.00,2
WA,5,HOUSE,2020,496.00,2
WV,1,HOUSE,2020,374.00,2
CA,30,HOUSE,2020,339.00,3
WV,3,HOUSE,2020,315.00,2
TX,32,HOUSE,2022,309.00,2
WV,1,HOUSE,2018,277.00,1
MN,,SENATE,2022,265.00,2
FL,23,HOUSE,2020,226.00,2
CA,16,HOUSE,2020,226.00,2
CA,19,HOUSE,2020,226.00,2
CA,14,HOUSE,2020,226.00,2
LA,2,HOUSE,2020,226.00,3
MI,12,HOUSE,2020,224.00,1
MI,13,HOUSE,2020,224.00,1
MI,14,HOUSE,2020,224.00,1
MI,5,HOUSE,2020,224.00,1
MI,9,HOUSE,2020,224.00,1
DE,,HOUSE,2020,180.00,2
CA,36,HOUSE,2020,180.00,2
PA,18,HOUSE,2020,158.00,1
NY,26,HOUSE,2020,113.00,1
NY,4,HOUSE,2020,113.00,1
CA,42,HOUSE,2020,113.00,1
NH,2,HOUSE,2020,113.00,1
NJ,10,HOUSE,2020,113.00,1
VA,4,HOUSE,2020,113.00,1
FL,10,HOUSE,2020,113.00,1
NJ,8,HOUSE,2020,113.00,1
NJ,9,HOUSE,2020,113.00,1
NM,1,HOUSE,2020,113.00,1
CA,28,HOUSE,2020,113.00,1
CA,51,HOUSE,2020,113.00,2
CA,52,HOUSE,2020,113.00,1
CA,5,HOUSE,2020,113.00,1
CA,6,HOUSE,2020,113.00,1
CA,7,HOUSE,2020,113.00,1
CA,9,HOUSE,2020,113.00,1
CO,4,HOUSE,2020,113.00,1
NC,4,HOUSE,2020,113.00,1
OH,11,HOUSE,2020,113.00,1
WA,6,HOUSE,2020,113.00,1
AZ,3,HOUSE,2020,113.00,1
AZ,4,HOUSE,2020,113.00,1
CA,11,HOUSE,2020,113.00,1
CA,13,HOUSE,2020,113.00,1
FL,5,HOUSE,2020,113.00,1
NY,18,HOUSE,2020,113.00,1
OR,3,HOUSE,2020,113.00,1
HI,2,HOUSE,2020,113.00,1
IL,16,HOUSE,2020,113.00,1
IL,1,HOUSE,2020,113.00,1
KY,3,HOUSE,2020,113.00,1
MD,3,HOUSE,2020,113.00,1
TX,18,HOUSE,2020,113.00,1
TX,34,HOUSE,2020,113.00,1
CA,33,HOUSE,2020,113.00,1
CA,31,HOUSE,2020,113.00,1
CA,32,HOUSE,2020,113.00,1
CA,37,HOUSE,2020,113.00,1
TX,30,HOUSE,2020,113.00,1
TX,37,HOUSE,2020,113.00,1
VT,,HOUSE,2020,113.00,1
CA,40,HOUSE,2020,113.00,1
CA,41,HOUSE,2020,113.00,1
PA,18,HOUSE,2018,88.00,1
OH,16,HOUSE,2018,79.00,1
MN,3,HOUSE,2022,71.00,2
CO,7,HOUSE,2020,67.00,1
CA,30,HOUSE,2022,24.00,3
DE,,HOUSE,2022,16.00,2
NE,,SENATE,2020,8.00,1
MT,2,HOUSE,2022,8.00,1
MI,9,HOUSE,2022,8.00,1
MA,,SENATE,2022,8.00,1
NJ,,SENATE,2022,8.00,1
CA,16,HOUSE,2022,8.00,1
CA,31,HOUSE,2022,8.00,1
CO,4,HOUSE,2022,8.00,1
AZ,3,HOUSE,2022,8.00,1
NM,,SENATE,2022,8.00,1
KS,2,HOUSE,2022,8.00,1
MD,3,HOUSE,2022,8.00,1
VT,,HOUSE,2022,8.00,1
NC,8,HOUSE,2022,8.00,1
MI,14,HOUSE,2022,8.00,1
MI,5,HOUSE,2022,8.00,1
OR,3,HOUSE,2022,8.00,1
VA,,SENATE,2022,8.00,1
RI,,SENATE,2022,8.00,1
NJ,10,HOUSE,2022,8.00,1
NJ,9,HOUSE,2022,8.00,1
WA,6,HOUSE,2022,8.00,1
DE,,SENATE,2022,8.00,1
NY,26,HOUSE,2022,8.00,1
IN,,SENATE,2020,-100.00,1
MI,,SENATE,2022,-123.00,2
MD,4,HOUSE,2024,-38105.00,1
